#t x x_dot energy
5.64565 0.826476 0.612434 0.529069
5.65566 0.832606 0.604161 0.529122
5.66567 0.838654 0.595826 0.529175
5.67568 0.844618 0.587432 0.529228
5.68569 0.850498 0.578977 0.529281
5.6957 0.856294 0.570463 0.529334
5.70571 0.862004 0.561892 0.529387
5.71572 0.867629 0.553263 0.52944
5.72573 0.873167 0.544578 0.529493
5.73574 0.878618 0.535838 0.529546
5.74575 0.883982 0.527043 0.529599
5.75576 0.889258 0.518194 0.529652
5.76577 0.894445 0.509293 0.529705
5.77578 0.899543 0.500339 0.529758
5.78579 0.904551 0.491335 0.529811
5.7958 0.909469 0.48228 0.529864
5.80581 0.914297 0.473177 0.529918
5.81582 0.919034 0.464024 0.529971
5.82583 0.923678 0.454825 0.530024
5.83584 0.928231 0.445579 0.530077
5.84585 0.932691 0.436287 0.53013
5.85586 0.937059 0.426951 0.530183
5.86587 0.941332 0.417571 0.530236
5.87588 0.945512 0.408148 0.530289
5.88589 0.949598 0.398684 0.530342
5.8959 0.953589 0.389178 0.530396
5.90591 0.957484 0.379633 0.530449
5.91592 0.961285 0.370048 0.530502
5.92593 0.964989 0.360426 0.530555
5.93594 0.968597 0.350766 0.530608
5.94595 0.972108 0.341071 0.530661
5.95596 0.975522 0.33134 0.530715
5.96597 0.978839 0.321575 0.530768
5.97598 0.982058 0.311777 0.530821
5.98599 0.985178 0.301946 0.530874
5.996 0.988201 0.292085 0.530927
6.00601 0.991125 0.282193 0.53098
6.01602 0.993949 0.272272 0.531034
6.02603 0.996675 0.262322 0.531087
6.03604 0.999301 0.252345 0.53114
6.04605 1.00183 0.242342 0.531193
6.05606 1.00425 0.232314 0.531247
6.06607 1.00658 0.222262 0.5313
6.07608 1.0088 0.212186 0.531353
6.08609 1.01093 0.202088 0.531406
6.0961 1.01295 0.191968 0.53146
6.10611 1.01487 0.181828 0.531513
6.11612 1.01669 0.17167 0.531566
6.12613 1.01841 0.161493 0.531619
6.13614 1.02003 0.151298 0.531673
6.14615 1.02154 0.141088 0.531726
6.15616 1.02295 0.130862 0.531779
6.16617 1.02426 0.120622 0.531832
6.17618 1.02547 0.110369 0.531886
6.18619 1.02658 0.100105 0.531939
6.1962 1.02758 0.0898285 0.531992
6.20621 1.02848 0.0795424 0.532046
6.21622 1.02927 0.0692473 0.532099
6.22623 1.02997 0.0589443 0.532152
6.23624 1.03056 0.0486343 0.532206
6.24625 1.03104 0.0383185 0.532259
6.25626 1.03143 0.0279977 0.532312
6.26627 1.03171 0.0176731 0.532366
6.27628 1.03188 0.00734574 0.532419
6.28629 1.03196 -0.00298343 0.532472
6.2963 1.03193 -0.0133133 0.532526
6.30631 1.03179 -0.0236429 0.532579
6.31632 1.03156 -0.0339712 0.532632
6.32633 1.03122 -0.0442971 0.532686
6.33634 1.03077 -0.0546196 0.532739
6.34635 1.03023 -0.0649377 0.532792
6.35636 1.02958 -0.0752502 0.532846
6.36637 1.02882 -0.0855563 0.532899
6.37638 1.02797 -0.0958548 0.532953
6.38639 1.02701 -0.106145 0.533006
6.3964 1.02595 -0.116425 0.533059
6.40641 1.02478 -0.126695 0.533113
6.41642 1.02351 -0.136953 0.533166
6.42643 1.02214 -0.147198 0.53322
6.43644 1.02067 -0.15743 0.533273
6.44645 1.01909 -0.167647 0.533327
6.45646 1.01741 -0.177848 0.53338
6.46647 1.01563 -0.188032 0.533433
6.47648 1.01375 -0.198199 0.533487
6.48649 1.01177 -0.208346 0.53354
6.4965 1.00968 -0.218474 0.533594
6.50651 1.00749 -0.228581 0.533647
6.51652 1.00521 -0.238666 0.533701
6.52653 1.00282 -0.248728 0.533754
6.53654 1.00033 -0.258767 0.533808
6.54655 0.997737 -0.26878 0.533861
6.55656 0.995047 -0.278767 0.533915
6.56657 0.992256 -0.288728 0.533968
6.57658 0.989366 -0.29866 0.534022
6.58659 0.986377 -0.308564 0.534075
6.5966 0.983288 -0.318437 0.534129
6.60661 0.9801 -0.32828 0.534182
